feature,importance
bm_is_good,0.11097401
pol_max_bm_risk,0.10511641
bonus_malus_clean,0.09926128
pol_avg_bm,0.08609694
bm_risk,0.08416051
bm_is_base,0.05011943
pol_min_exp,0.039790522
region_id,0.039459985
region_x_bm,0.03681871
vehicle_x_power,0.02767738
drivers_x_new,0.024747094
pol_driver_cnt,0.022399101
vehicle_type_id,0.022332588
power_per_vol,0.019971298
exp_group,0.018434271
car_age_calc,0.016416175
bm_x_exp,0.013478931
SCORE_4_avg,0.013468363
SCORE_10_avg,0.013255961
SCORE_6_avg,0.0127258785
