feature,IV
pol_avg_bm,0.15055938459603693
pol_max_bm_risk,0.13908522276428442
region_id,0.10096848480057784
bm_risk,0.0730901023978546
bonus_malus_clean,0.0706958435292589
pol_min_exp,0.05935612144144427
bm_is_good,0.05171603588525691
region_x_bm,0.04306345862585501
vehicle_x_power,0.03785154973182029
experience_year,0.03190574736728509
vehicle_type_id,0.0311614898649202
bm_is_base,0.030971595324175222
exp_group,0.026292822087601
power_x_new,0.023361048775413104
power_per_vol,0.02222028640760695
SCORE_2_avg,0.019381369661018805
is_new_driver,0.01915081890988207
pol_driver_cnt,0.016711618863886994
SCORE_8_avg,0.016581738432211432
drivers_x_new,0.015715893573265412
SCORE_10_avg,0.015536768463010813
bm_x_exp,0.014952840701173867
car_age_calc,0.013908730735028834
SCORE_6_avg,0.013477234442803106
SCORE_4_avg,0.010734314131509236
SCORE_11_avg,0.006442774309828976
SCORE_3_avg,0.005922718635840221
high_power,0.005594685177093894
is_residence,0.004846523259995653
SCORE_7_avg,0.004794446703889673
SCORE_9_avg,0.003770258663437972
policy_month,0.0037077154491736825
SCORE_5_avg,0.0031875882748888737
SCORE_1_avg,0.00039374874258959997
SCORE_12_avg,0.00010222965946223066
bm_is_bad,3.735769788746229e-05
is_individual_person,0.0
policy_year,0.0
